"Mod name","Registry name","Entity class name","ID"
"Academy Craft","academy:entityblock","EntityBlock",0
"Academy Craft","academy:entitycointhrowing","EntityCoinThrowing",1
"Academy Craft","academy:entitymaghook","EntityMagHook",2
"Academy Craft","academy:entitymdball","EntityMdBall",3
"Academy Craft","academy:entitysilbarn","EntitySilbarn",4
"Academy Craft","academy:magmanipentityblock","MagManipEntityBlock",5
"Advanced Fishing","advanced-fishing:custom_fish_hook","EntityCustomFishHook",0
"Advanced Fishing","advanced-fishing:fireproof_item","EntityFireproofItem",2
"Advanced Fishing","advanced-fishing:lava_fish_hook","EntityLavaFishHook",1
"Advanced Hook Launchers","adhooks:hookshot","HookShot",1
"Advent Of Ascension","aoa3:abyssal_lottoman","EntityAbyssalLottoman",410
"Advent Of Ascension","aoa3:agility_tablet","EntityAgilityTablet",497
"Advent Of Ascension","aoa3:airhead","EntityAirhead",0
"Advent Of Ascension","aoa3:alarmo","EntityAlarmo",1
"Advent Of Ascension","aoa3:alluricorn","EntityAlluricorn",383
"Advent Of Ascension","aoa3:ambient_pixon","EntityAmbientPixon",411
"Advent Of Ascension","aoa3:amphibior","EntityAmphibior",2
"Advent Of Ascension","aoa3:amphibiyte","EntityAmphibiyte",3
"Advent Of Ascension","aoa3:ancient_golem","EntityAncientGolem",4
"Advent Of Ascension","aoa3:anemia","EntityAnemia",5
"Advent Of Ascension","aoa3:anemia_bomb","EntityAnemiaBomb",525
"Advent Of Ascension","aoa3:angelica","EntityAngelica",6
"Advent Of Ascension","aoa3:angler","EntityAngler",7
"Advent Of Ascension","aoa3:anima_master","EntityAnimaMaster",412
"Advent Of Ascension","aoa3:anima_stone","EntityAnimaStone",498
"Advent Of Ascension","aoa3:apparition","EntityApparition",8
"Advent Of Ascension","aoa3:aquaball","EntityAquaball",527
"Advent Of Ascension","aoa3:aquatic_shot","EntityAquaticShot",528
"Advent Of Ascension","aoa3:arc_flower","EntityArcFlower",9
"Advent Of Ascension","aoa3:arc_wizard","EntityArcWizard",10
"Advent Of Ascension","aoa3:arcbeast","EntityArcbeast",11
"Advent Of Ascension","aoa3:archvine","EntityArchvine",12
"Advent Of Ascension","aoa3:arcworm","EntityArcworm",13
"Advent Of Ascension","aoa3:arcworm_shot","EntityArcwormShot",526
"Advent Of Ascension","aoa3:ariel","EntityAriel",14
"Advent Of Ascension","aoa3:arkback","EntityArkback",15
"Advent Of Ascension","aoa3:arkzyne","EntityArkzyne",16
"Advent Of Ascension","aoa3:arocknid","EntityArocknid",17
"Advent Of Ascension","aoa3:assassin","EntityAssassin",413
"Advent Of Ascension","aoa3:atomizer_bounce","EntityAtomizerBounce",529
"Advent Of Ascension","aoa3:atomizer_shot","EntityAtomizerShot",530
"Advent Of Ascension","aoa3:augury_master","EntityAuguryMaster",414
"Advent Of Ascension","aoa3:automaton","EntityAutomaton",18
"Advent Of Ascension","aoa3:awareness_tablet","EntityAwarenessTablet",499
"Advent Of Ascension","aoa3:axiolight","EntityAxiolight",19
"Advent Of Ascension","aoa3:bane","EntityBane",20
"Advent Of Ascension","aoa3:bane_big","EntityBaneBig",500
"Advent Of Ascension","aoa3:bane_clone","EntityBaneClone",501
"Advent Of Ascension","aoa3:banshee","EntityBanshee",21
"Advent Of Ascension","aoa3:baron_bomb","EntityBaronBomb",502
"Advent Of Ascension","aoa3:baron_lottoman","EntityBaronLottoman",415
"Advent Of Ascension","aoa3:baron_shot","EntityBaronShot",531
"Advent Of Ascension","aoa3:baroness","EntityBaroness",22
"Advent Of Ascension","aoa3:baroness_shot","EntityBaronessShot",532
"Advent Of Ascension","aoa3:basilisk","EntityBasilisk",23
"Advent Of Ascension","aoa3:baumba","EntityBaumba",24
"Advent Of Ascension","aoa3:beamer_shot","EntityBeamerShot",533
"Advent Of Ascension","aoa3:black_ursa","EntityBlackUrsa",25
"Advent Of Ascension","aoa3:blissard","EntityBlissard",384
"Advent Of Ascension","aoa3:blood_drainer","EntityBloodDrainer",534
"Advent Of Ascension","aoa3:bloodball","EntityBloodball",535
"Advent Of Ascension","aoa3:bloodlust","EntityBloodlust",503
"Advent Of Ascension","aoa3:bloodmist","EntityBloodmist",26
"Advent Of Ascension","aoa3:bloodsucker","EntityBloodsucker",27
"Advent Of Ascension","aoa3:blooming_pixon","EntityBloomingPixon",416
"Advent Of Ascension","aoa3:blue_flower","EntityBlueFlower",28
"Advent Of Ascension","aoa3:blue_guardian","EntityBlueGuardian",29
"Advent Of Ascension","aoa3:blue_guardian_shot","EntityBlueGuardianShot",536
"Advent Of Ascension","aoa3:blue_rune_templar","EntityRuneTemplarBlue",30
"Advent Of Ascension","aoa3:blue_runic_lifeform","EntityRunicLifeformBlue",31
"Advent Of Ascension","aoa3:bobo","EntityBobo",32
